DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P606	P203	P203S1	FEX_P
36338	252	1	3	4	2		652.220472069531
36338	252	1	4	4	2		652.220472069531
36339	252	1	1	5	1	110000	238.70701196278
36339	252	1	2	4	2		238.70701196278
36339	252	1	3	4	2		238.70701196278
36339	252	1	4	2	2		238.70701196278
36339	252	1	5	1	1	644000	238.70701196278
36339	252	1	6	2	2		238.70701196278
36339	252	1	7	2	2		238.70701196278
36340	252	1	1	1	1	1000000	509.816464562181
36340	252	1	2	1	1	1500000	509.816464562181
36341	252	1	1	1	1	2000000	271.954283226936
36341	252	1	2	3	2		271.954283226936
36341	252	1	4	5	2		271.954283226936
36341	252	1	5	1	1	690000	271.954283226936
36342	252	1	1	6	1	6000000	310.613204632833
36342	252	1	2	4	2		310.613204632833
36342	252	1	3	6	1	760000	310.613204632833
36342	252	1	4	1	1	890000	310.613204632833
36343	252	1	1	1	1	1000000	927.77439554238
36343	252	1	2	1	1	1000000	927.77439554238
36343	252	1	3	1	1	730000	927.77439554238
36344	252	1	1	4	2		773.76864995295
36344	252	1	2	1	1	730000	773.76864995295
36345	252	1	1	1	1	6440000	1137.93377056316
36345	252	1	2	3	2		1137.93377056316
36346	252	1	1	1	1	1000000	509.816464562181
36346	252	1	2	1	1	1000000	509.816464562181
36347	252	1	1	1	1	730000	514.754984672694
36347	252	1	2	4	2		514.754984672694
36347	252	1	3	3	2		514.754984672694
36347	252	1	4	3	2		514.754984672694
36348	252	1	1	1	1	1800000	985.391529875875
36348	252	1	2	1	1	500000	985.391529875875
36348	252	1	3	3	2		985.391529875875
36348	252	1	4	3	2		985.391529875875
36349	252	1	1	1	1	1300000	1114.82782836025
36350	252	1	1	1	1	500000	538.314151949207
36350	252	1	2	4	2		538.314151949207
36350	252	1	3	3	2		538.314151949207
36351	252	1	1	5	2		672.033076149942
36352	252	1	1	1	1	730000	337.719154937276
36352	252	1	2	4	2		337.719154937276
36352	252	1	3	1	1	730000	337.719154937276
36353	252	1	1	1	1	730000	386.884324976475
36353	252	1	2	3	2		386.884324976475
36354	252	1	1	1	1	1000000	530.307963875682
36354	252	1	2	4	2		530.307963875682
36355	252	1	1	6	1	800000	441.827978036433
36355	252	1	2	4	2		441.827978036433
36355	252	1	3	1	1	1500000	441.827978036433
36356	252	1	1	1	1	800000	463.88719777119
36356	252	1	2	1	1	1500000	463.88719777119
36356	252	1	3	3	2		463.88719777119
36357	252	1	1	1	1	300000	492.695764937937
36357	252	1	2	4	1	400000	492.695764937937
36357	252	1	3	1	1	1200000	492.695764937937
36357	252	1	4	2	2		492.695764937937
36358	252	1	1	4	1	1300000	399.093190472082
36358	252	1	2	2	2		399.093190472082
36358	252	1	3	1	1	740000	399.093190472082
36359	252	1	1	1	1	350000	308.910587770529
36359	252	1	2	2	2		308.910587770529
36360	252	1	1	1	1	3000000	359.339678676157
36360	252	1	2	4	2		359.339678676157
36360	252	1	3	3	2		359.339678676157
36360	252	1	4	2	2		359.339678676157
36361	252	1	1	1	1	7300000	488.851835217452
36362	252	1	1	1	1	200000	522.025330057788
36362	252	1	2	1	1	730000	522.025330057788
36362	252	1	4	4	2		522.025330057788
36364	252	1	1	1	1	1450000	490.993148075633
36364	252	1	2	1	1	1800000	490.993148075633
36365	252	1	1	1	1	1300000	320.024862876108
36365	252	1	2	4	2		320.024862876108
36365	252	1	4	5	1	1500000	320.024862876108
36365	252	1	5	2	2		320.024862876108
36366	252	1	1	5	1	150000	728.186886745879
36366	252	1	2	4	2		728.186886745879
36366	252	1	3	1	1	200000	728.186886745879
36367	252	1	1	1	1	800000	1384.6436973989
36367	252	1	2	4	2		1384.6436973989
36368	252	1	1	4	1	900000	917.771066162762
36368	252	1	2	4	2		917.771066162762
36368	252	1	3	1	1	1500000	917.771066162762
36369	252	1	1	4	1	720000	1214.62310022883
36370	252	1	1	1	1	1500000	1749.31150067965
36370	252	1	2	1	1	1200000	1749.31150067965
36371	252	1	1	1	1	300000	1214.62310022883
36372	252	1	1	2	2		1102.97052478197
36372	252	1	2	1	1	1500000	1102.97052478197
36373	252	1	1	5	2		1399.94792942144
36373	252	1	2	3	2		1399.94792942144
36373	252	2	1	1	1	800000	1399.94792942144
36373	252	2	2	1	1	800000	1399.94792942144
36374	252	1	1	3	2		1278.1488592812
36375	252	1	1	1	1	710000	1452.45946661358
36375	252	1	2	1	1	1200000	1452.45946661358
36375	252	1	3	6	2		1452.45946661358
36375	252	1	4	1	1	710000	1452.45946661358
36376	252	1	1	1	1	130000	1214.62310022883
36377	252	1	1	1	1	1000000	1177.41579505922
36377	252	1	2	4	2		1177.41579505922
36377	252	1	3	2	2		1177.41579505922
36378	252	1	1	4	1	150000	1471.85870342511
36378	252	1	2	1	1	800000	1471.85870342511
36378	252	1	3	4	2		1471.85870342511
36379	252	1	1	1	1	300000	1278.1488592812
36380	252	1	1	2	2		1278.1488592812
36381	252	1	1	1	1	710000	1600.54633069855
36381	252	1	2	1	1	500000	1600.54633069855
36381	252	2	1	1	1	600000	1600.54633069855
36381	252	2	2	4	2		1600.54633069855
36382	252	1	1	1	1	400000	1596.16160990088
36382	252	1	2	5	2		1596.16160990088
36382	252	1	3	3	2		1596.16160990088
36383	252	1	1	4	2		1142.22024302373
36383	252	1	2	1	99		1142.22024302373
36383	252	1	3	5	2		1142.22024302373
36383	252	1	4	4	2		1142.22024302373
36383	252	1	5	1	1	1000000	1142.22024302373
36383	252	1	6	1	2		1142.22024302373
36384	252	1	1	1	1	1200000	752.26774622349
36384	252	1	2	4	2		752.26774622349
36384	252	1	4	5	2		752.26774622349
36384	252	1	5	4	2		752.26774622349
36385	252	1	1	1	99		1025.72807883432
36385	252	1	2	1	1	480000	1025.72807883432
36385	252	1	3	1	1	500000	1025.72807883432
36386	252	1	1	4	2		467.035879629627
36386	252	1	2	1	99		467.035879629627
36386	252	1	3	3	1	160000	467.035879629627
36386	252	1	4	1	1	870000	467.035879629627
36386	252	1	6	1	99		467.035879629627
36386	252	1	8	3	99		467.035879629627
36387	252	1	1	1	1	1200000	827.475998079175
36387	252	1	2	2	2		827.475998079175
36387	252	1	3	2	2		827.475998079175
36388	252	1	1	4	2		692.085956451401
36388	252	1	2	1	1	1000000	692.085956451401
36389	252	1	1	4	2		939.019960763915
36389	252	1	2	1	1	550000	939.019960763915
36389	252	1	3	1	1	900000	939.019960763915
36390	252	1	1	1	1	600000	602.331480292478
36390	252	1	2	2	1	160000	602.331480292478
36390	252	1	3	4	2		602.331480292478
36391	252	1	1	1	99		467.035879629627
36391	252	1	2	2	2		467.035879629627
36391	252	1	3	3	2		467.035879629627
36392	252	1	1	1	1	1300000	1177.95940548325
36392	252	1	2	1	1	600000	1177.95940548325
36393	252	1	1	4	1	733000	1296.89335072724
36393	252	1	2	4	2		1296.89335072724
36393	252	1	3	4	2		1296.89335072724
36393	252	1	4	1	2		1296.89335072724
36394	252	1	1	6	99		636.616263625997
36394	252	1	2	6	99		636.616263625997
36395	252	1	1	4	99		515.623362222071
36395	252	1	2	6	99		515.623362222071
36395	252	1	3	1	1	2100000	515.623362222071
36396	252	1	1	5	1	2000000	983.963928720248
36396	252	1	2	4	2		983.963928720248
36397	252	1	1	6	99		636.616263625997
36397	252	1	2	4	2		636.616263625997
36398	252	1	1	1	1	1900000	686.508433086991
36398	252	1	2	1	1	2100000	686.508433086991
36398	252	1	3	1	1	1800000	686.508433086991
36398	252	1	4	1	1	1800000	686.508433086991
36399	252	1	1	1	99		955.861245785071
36400	252	1	1	2	99		1177.95940548325
36400	252	1	2	2	2		1177.95940548325
36401	252	1	1	1	1	800000	1236.47545639717
36402	252	1	1	1	1	680000	1080.96166710175
36402	252	1	2	4	2		1080.96166710175
36403	252	1	1	4	2		1015.20235396525
36403	252	1	2	1	2		1015.20235396525
36404	252	1	1	1	1	600000	1177.95940548325
36404	252	1	2	4	2		1177.95940548325
36405	252	1	1	4	2		712.798656827333
36406	252	1	1	4	2		778.557969963832
36407	252	1	1	1	1	700000	1049.72324185675
36407	252	1	2	4	2		1049.72324185675
36408	252	1	1	1	1	750000	712.798656827333
36409	252	1	1	1	99		983.963928720248
36409	252	1	2	4	2		983.963928720248
36410	252	1	1	1	1	800000	1207.13887456832
36410	252	1	2	1	1	900000	1207.13887456832
36410	252	1	3	1	1	1100000	1207.13887456832
36410	252	1	4	2	2		1207.13887456832
36410	252	1	5	4	2		1207.13887456832
36411	252	1	1	4	1	1900000	1015.20235396525
36411	252	1	2	4	2		1015.20235396525
36412	252	1	1	1	1	600000	856.655467164237
36412	252	1	2	1	1	800000	856.655467164237
36412	252	1	3	3	2		856.655467164237
36412	252	1	4	2	2		856.655467164237
36412	252	1	5	2	2		856.655467164237
36412	252	1	6	1	1	1200000	856.655467164237
36413	252	1	1	1	1	600000	636.616263625997
36413	252	1	2	4	2		636.616263625997
36414	252	1	1	1	1	1000000	983.963928720248
36414	252	1	2	4	2		983.963928720248
36415	252	1	1	1	1	1200000	1115.48255499325
36415	252	1	2	1	1	700000	1115.48255499325
36416	252	1	1	2	2		681.560231582329
36417	252	1	1	1	99		1236.47545639717
36418	252	1	1	4	1	400000	955.861245785071
36419	252	1	1	4	2		884.760513842139
36419	252	1	2	1	1	1200000	884.760513842139
36419	252	1	3	2	2		884.760513842139
36419	252	1	4	1	1	750000	884.760513842139
36420	252	1	1	4	1	700000	834.868344381145
36420	252	1	2	4	2		834.868344381145
36421	252	1	1	4	2		852.44530244725
36421	252	1	2	1	1	1200000	852.44530244725
36422	252	1	1	1	1	1000000	983.963928720248
36422	252	1	2	4	2		983.963928720248
36423	252	1	1	1	1	900000	917.230474238097
36423	252	1	2	1	1	750000	917.230474238097
36424	252	1	1	4	2		1126.74631664999
36424	252	1	2	1	99		1126.74631664999
36425	252	1	1	4	1	650000	955.861245785071
36426	252	1	1	1	99		1146.72098023825
36426	252	1	2	4	2		1146.72098023825
36427	252	1	1	2	2		754.562806941409
36427	252	1	4	2	2		754.562806941409
36428	252	1	1	1	1	750000	580.305889208684
36429	252	1	1	1	1	738000	1049.72324185675
36429	252	1	2	2	2		1049.72324185675
36430	252	1	1	1	1	900000	547.835928812726
36430	252	1	4	4	2		547.835928812726
36430	252	1	5	1	1	850000	547.835928812726
36431	252	1	1	4	1	550000	747.319544718828
36432	252	1	1	1	1	1200000	1049.72324185675
36432	252	1	2	4	2		1049.72324185675
36433	252	1	1	1	1	900000	1236.47545639717
36434	252	1	1	1	1	600000	1449.12467737617
36434	252	1	2	4	2		1449.12467737617
36434	252	1	3	2	2		1449.12467737617
36435	252	1	1	1	1	900000	813.078857855327
36436	252	1	1	2	2		994.489653589319
36436	252	1	2	1	1	650000	994.489653589319
36436	252	1	3	2	2		994.489653589319
36437	252	1	1	1	1	2500000	512.386209997093
36437	252	1	2	1	99		512.386209997093
36437	252	1	3	1	1	3000000	512.386209997093
36437	252	1	4	3	2		512.386209997093
36438	252	1	1	1	1	2900000	675.210779732446
36439	252	1	1	1	1	2000000	335.444444444443
36439	252	1	2	1	99		335.444444444443
36439	252	1	4	3	2		335.444444444443
36440	252	1	1	4	2		384.415048976041
36440	252	1	2	4	2		384.415048976041
36440	252	1	3	1	1	600000	384.415048976041
36441	252	1	1	1	2		520.55489864009
36441	252	1	2	2	2		520.55489864009
36442	252	1	1	1	1	2000000	767.858754488766
36442	252	1	2	4	2		767.858754488766
36443	252	1	1	4	1	500000	627.397013981157
36443	252	1	2	1	2		627.397013981157
36444	252	1	1	4	1	1000000	621.115168109696
36444	252	1	2	3	2		621.115168109696
36444	252	1	3	1	1	1400000	621.115168109696
36445	252	1	1	1	2		926.831210930991
36445	252	1	2	2	2		926.831210930991
36446	252	1	1	4	2		639.887593467714
36447	252	1	1	4	1	100000	1005.29036059626
36447	252	1	2	1	2		1005.29036059626
36447	252	1	4	1	99		1005.29036059626
36447	252	1	5	1	1	200000	1005.29036059626
36448	252	1	1	2	1	500000	920.54936505953
36448	252	1	2	1	1	1500000	920.54936505953
36448	252	1	3	1	1	1000000	920.54936505953
36449	252	1	1	2	2		477.063023732361
36449	252	1	2	1	1	2800000	477.063023732361
36449	252	1	3	2	2		477.063023732361
36449	252	1	4	2	2		477.063023732361
36450	252	1	1	4	1	200000	726.253722352573
36450	252	1	2	4	2		726.253722352573
36450	252	1	3	4	2		726.253722352573
36451	252	1	1	1	2		534.749039224837
36452	252	1	1	3	2		662.720200245889
36452	252	1	2	3	1	200000	662.720200245889
36453	252	1	1	1	1	25000000	528.467193353376
36453	252	1	2	4	2		528.467193353376
36454	252	1	1	1	1	400000	1129.17872337079
36454	252	1	2	5	2		1129.17872337079
36454	252	1	3	1	1	500000	1129.17872337079
36454	252	1	4	4	2		1129.17872337079
36454	252	1	6	1	1	300000	1129.17872337079
36454	252	1	7	4	2		1129.17872337079
36455	252	1	1	1	1	600000	1582.52108428033
36455	252	1	2	4	2		1582.52108428033
36456	252	1	1	1	1	600000	770.758502176242
36456	252	1	2	4	1	120000	770.758502176242
36456	252	1	3	5	2		770.758502176242
36457	252	1	1	4	2		996.684467080673
36457	252	1	2	1	1	900000	996.684467080673
36458	252	1	1	4	1	120000	892.69469679745
36458	252	1	2	1	1	650000	892.69469679745
36459	252	1	1	1	1	400000	770.652251390228
36460	252	1	1	5	1	300000	647.119374882328
36460	252	1	2	4	2		647.119374882328
