DIRECTORIO	REGION	P4090	P4000	P4031S1	P4031S1A1	P4031S2	P4031S3	P4031S4	P4031S4A1	P4031S5	P70	FEX_P
36440	2	1	2	1	2	1	1	1	3	1	1	384.415048976041
36441	2	1	2	1	2	1	1	1	3	1	1	520.55489864009
36442	2	1	2	1	2	1	1	1	3	1	1	767.858754488766
36443	2	1	2	1	3	1	1	1	3	1	1	627.397013981157
36444	2	1	1	1	2	1	1	1	3	1	1	621.115168109696
36445	2	1	2	1	3	1	1	1	3	1	1	926.831210930991
36446	2	1	2	1	3	1	1	1	3	1	1	639.887593467714
36447	2	1	1	1	2	1	1	1	3	1	1	1005.29036059626
36448	2	1	2	1	2	1	1	1	3	1	1	920.54936505953
36449	2	1	1	1	2	1	1	1	3	1	1	477.063023732361
36450	2	1	3	1	2	2	1	1	3	1	1	726.253722352573
36451	2	1	2	1	2	1	1	1	3	1	1	534.749039224837
36452	2	1	2	1	2	1	1	1	3	1	1	662.720200245889
36453	2	1	1	1	2	1	1	1	3	1	1	528.467193353376
36454	2	1	1	1	1	2	1	2		2	1	1129.17872337079
36455	2	1	3	1	1	2	1	2		1	1	1582.52108428033
36456	2	1	1	1	1	2	1	2		1	1	770.758502176242
36457	2	1	1	1	1	2	1	2		1	1	996.684467080673
36458	2	1	1	1	1	2	1	2		1	1	892.69469679745
36459	2	1	1	1	1	2	1	2		1	1	770.652251390228
36460	2	1	1	1	1	2	1	2		1	1	647.119374882328
36461	2	1	1	1	1	2	1	2		1	1	996.684467080673
36462	2	1	1	1	1	2	2	2		1	1	827.412500786018
36463	2	1	3	1	1	2	1	2		1	1	905.433219101708
36464	2	1	1	1	1	1	1	1	3	1	1	671.371064154636
36465	2	1	1	1	1	1	1	1	3	1	1	996.684467080673
36466	2	1	1	1	3	1	1	1	3	1	1	1053.44471647646
36467	2	1	1	1	3	1	1	1	3	1	1	1053.33846569045
36468	2	1	1	1	3	1	1	1	3	1	1	460.612804807812
36469	2	1	1	1	1	1	1	1	3	1	1	873.643597931788
36470	2	1	1	1	1	1	1	1	2	1	1	1152.83215449807
36471	2	1	1	1	1	1	1	1	2	1	1	827.412500786018
36472	2	1	1	1	1	1	1	1	2	1	1	703.773373492103
