DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P6008	P220	P5785	P5465	P6050	P605	P6160	P8586	P6210	P6210S1	P6945	FEX_P
18750	252	1	5	5	2	3									921.62182161
18751	252	1	1		2	21	6	1	2	1	2	5	2	5	803.74528227
18751	252	1	2	2	1	24	5	2	2	1	2	5	1	5	803.74528227
18752	252	1	1	1	1	61	6	1	4	1	2	4	3	1	343.89386765
18753	252	1	1		1	42	6	1	2	1	2	6	7	2	451.8031666
18753	252	1	2		2	39	6	2	2	1	2	6	2	5	451.8031666
18753	252	1	3		1	13									451.8031666
18753	252	1	4	4	1	8									451.8031666
18754	252	1	1		2	36	6	1	6	1	2	4	4	99	452.45508872
18754	252	1	2		1	19	6	3	6	1	2	4	4	1	452.45508872
18754	252	1	3		2	17									452.45508872
18754	252	1	4	4	1	15									452.45508872
18755	252	1	2		2	33	7	2	3	1	2	6	5	10	451.8031666
18755	252	1	1		1	36	5	1	3	1	2	6	2	10	451.8031666
18755	252	1	3		1	12									451.8031666
18755	252	1	4	4	1	10									451.8031666
18756	252	1	10	10	2	3									509.2174428
18756	252	1	1		2	56	6	1	2	2	2	1		4	509.2174428
18756	252	1	2		1	42	6	2	2	1	2	4	2	4	509.2174428
18756	252	1	3		1	28	6	3	6	1	1	5	2	4	509.2174428
18756	252	1	4		2	25	6	3	6	1	2	4	5	4	509.2174428
18756	252	1	5		2	23	6	3	2	1	1	6	1	4	509.2174428
18756	252	1	6		1	22	6	5	2	1	2	6	2	4	509.2174428
18756	252	1	7		1	11									509.2174428
18756	252	1	8		2	6									509.2174428
18756	252	1	9		2	4									509.2174428
18757	252	1	1		1	55	1	1	3	1	2	3	6	1	463.3264122
18757	252	1	2		2	47	5	2	3	1	1	3	4	4	463.3264122
18757	252	1	3		1	19	5	3	6	1	1	5	1	4	463.3264122
18757	252	1	4		1	18	5	3	6	1	1	4	4	1	463.3264122
18757	252	1	5		2	15									463.3264122
18757	252	1	6	6	1	14									463.3264122
18758	252	1	1		1	50	6	1	2	1	2	3	6	1	567.81584978
18758	252	1	2		2	45	6	2	2	1	2	3	6	1	567.81584978
18758	252	1	3		1	19	6	3	6	1	1	6	1	1	567.81584978
18758	252	1	4		2	10									567.81584978
18758	252	1	5		2	26	6	3	4	1	2	5	3	1	567.81584978
18758	252	1	6		2	4									567.81584978
18758	252	1	7		2	0									567.81584978
18758	252	1	8	8	1	20	6	5	6	1	2	5	2	1	567.81584978
18759	252	1	1		2	47	6	1	4	1	2	4	3	1	598.74010087
18759	252	1	2		2	23	6	3	6	1	2	5	2	1	598.74010087
18759	252	1	3		2	20	6	3	6	1	2	5	2	1	598.74010087
18759	252	1	4		1	19	6	3	6	1	2	5	2	1	598.74010087
18759	252	1	5		1	5									598.74010087
18759	252	1	6		2	3									598.74010087
18759	252	1	7		1	19	6	3	6	1	2	5	2	1	598.74010087
18759	252	1	8		1	19	6	5	6	1	2	5	2	1	598.74010087
18759	252	1	9	9	1	18	6	5	6	1	2	5	2	1	598.74010087
18760	252	1	1		1	24	6	1	2	1	2	6	1	5	462.55442209
18760	252	1	2		2	30	6	2	2	1	2	5	2	5	462.55442209
18760	252	1	3		1	11									462.55442209
18760	252	1	4		2	7									462.55442209
18760	252	1	5		2	5									462.55442209
18760	252	1	6	6	1	3									462.55442209
18761	252	1	1		1	51	1	1	3	1	1	3	5	1	451.8031666
18761	252	1	2		2	45	5	2	3	1	1	3	5	1	451.8031666
18761	252	1	3		1	16									451.8031666
18761	252	1	4	4	1	11									451.8031666
18762	252	1	1		1	34	6	1	2	1	2	6	3	1	456.52687222
18762	252	1	2		2	35	6	2	2	1	2	4	4	1	456.52687222
18762	252	1	3		1	10									456.52687222
18762	252	1	4		1	6									456.52687222
18762	252	1	5	5	1	4									456.52687222
18763	252	1	1		2	58	6	1	5	1	2	3	6	1	322.24726163
18763	252	1	2		1	39	3	3	2	1	2	5	2	1	322.24726163
18763	252	1	3		2	35	6	5	2	1	2	4	3	1	322.24726163
18763	252	1	4		1	11									322.24726163
18763	252	1	5	5	1	63	6	5	6	1	2	4	4	1	322.24726163
18764	252	1	1		1	43	6	1	2	1	2	4	3	1	442.35575535
18764	252	1	2	2	2	42	6	2	2	1	2	5	2	1	442.35575535
18765	252	1	1	1	2	83	1	1	5	1	2	3	6	1	342.08184179
18766	252	1	1		1	45	6	1	2	1	2	5	2	1	447.07946097
18766	252	1	2		2	41	6	2	2	1	2	5	2	1	447.07946097
18766	252	1	3	3	1	15									447.07946097
18767	252	1	1		1	56	6	1	2	1	2	4	4	1	280.57175504
18767	252	1	2	2	2	61	1	2	2	1	2	3	6	1	280.57175504
18768	252	1	1		1	39	1	1	2	1	2	4	5	1	519.46087119
18768	252	1	2		2	39	5	2	2	1	2	5	2	5	519.46087119
18768	252	1	3		1	18	5	3	6	1	2	6	1	4	519.46087119
18768	252	1	4	4	1	11									519.46087119
18769	252	1	1		2	36	1	1	4	1	2	3	6	1	385.44930625
18769	252	1	2		2	16									385.44930625
18769	252	1	3		2	16									385.44930625
18769	252	1	4	4	1	4									385.44930625
18770	252	1	1		1	50	6	1	3	1	2	5	2	1	453.97728043
18770	252	1	2		2	52	6	2	3	1	2	4	5	1	453.97728043
18770	252	1	3		2	29	6	3	4	1	2	6	5	1	453.97728043
18770	252	1	4		2	4									453.97728043
