DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P606	P203	P203S1	FEX_P
18816	252	1	1	4	1	500000	1250.59356389726
18816	252	1	2	1	1	1800000	1250.59356389726
18817	252	1	1	1	1	700000	1497.86009275467
18817	252	1	2	4	2		1497.86009275467
18817	252	1	3	1	1	1200000	1497.86009275467
18817	252	1	4	3	2		1497.86009275467
18817	252	1	5	3	2		1497.86009275467
18818	252	1	1	1	1	1200000	607.863909654951
18819	252	1	1	1	1	640000	891.459344644244
18819	252	1	2	4	1	320000	891.459344644244
18820	252	1	1	1	1	2800000	1190.31244934498
18820	252	1	2	4	2		1190.31244934498
18821	252	1	1	1	1	2000000	1190.31244934498
18821	252	1	2	4	2		1190.31244934498
18822	252	1	1	4	1	150000	336.927491396554
18822	252	1	2	4	1	150000	336.927491396554
18822	252	1	3	4	2		336.927491396554
18822	252	1	4	1	99		336.927491396554
18822	252	1	5	4	2		336.927491396554
18824	252	1	1	1	1	200000	452.139563790732
18824	252	1	2	4	2		452.139563790732
18824	252	1	3	1	1	400000	452.139563790732
18824	252	1	4	4	2		452.139563790732
18824	252	1	6	1	1	350000	452.139563790732
18825	252	1	1	1	1	800000	516.029105363027
18825	252	1	2	4	2		516.029105363027
18826	252	1	1	4	2		476.718607191171
18826	252	1	2	1	1	550000	476.718607191171
18826	252	1	3	3	2		476.718607191171
18827	252	1	4	1	1	120000	640.349344541578
18827	252	1	5	1	1	450000	640.349344541578
18827	252	1	1	4	1	400000	640.349344541578
18827	252	1	2	1	1	300000	640.349344541578
18827	252	1	3	1	1	400000	640.349344541578
18828	252	1	1	1	1	400000	540.058360766058
18829	252	1	1	1	1	2100000	540.058360766058
18830	252	1	1	4	1	150000	468.483049202366
18830	252	1	2	1	2		468.483049202366
18831	252	1	1	1	1	350000	477.455498736694
18831	252	1	3	4	2		477.455498736694
18831	252	1	4	1	1	500000	477.455498736694
18832	252	1	1	4	2		506.087240698985
18832	252	1	2	1	1	900000	506.087240698985
18833	252	1	1	1	1	200000	470.531248641512
18833	252	1	2	3	2		470.531248641512
18834	252	1	1	4	1	150000	470.531248641512
18834	252	1	2	1	1	300000	470.531248641512
18835	252	1	1	1	1	200000	518.239779999596
18835	252	1	2	1	1	616000	518.239779999596
18836	252	1	1	1	1	300000	354.744759899235
18836	252	1	2	1	1	300000	354.744759899235
18837	252	1	1	4	1	50000	452.003846540686
18837	252	1	2	4	2		452.003846540686
18837	252	1	3	1	1	200000	452.003846540686
18838	252	1	1	4	2		370.324195115528
18838	252	1	2	1	1	100000	370.324195115528
18838	252	1	3	3	1	40000	370.324195115528
18838	252	1	4	4	1	70000	370.324195115528
18839	252	1	1	5	2		360.084138004017
18839	252	1	2	1	1	200000	360.084138004017
18840	252	1	1	1	1	700000	476.718607191171
18840	252	1	2	2	2		476.718607191171
18840	252	1	5	4	2		476.718607191171
18841	252	1	1	4	1	180000	423.534980478258
18842	252	1	1	4	2		473.822427307148
18842	252	1	2	1	1	300000	473.822427307148
18843	252	1	1	4	1	100000	493.771825498511
18843	252	1	2	5	2		493.771825498511
18843	252	2	1	4	2		493.771825498511
18843	252	2	2	1	1	400000	493.771825498511
18843	252	3	1	4	2		493.771825498511
18844	252	1	1	1	1	140000	428.435659484986
18844	252	1	2	1	1	400000	428.435659484986
18844	252	1	3	4	2		428.435659484986
18845	252	1	1	1	1	360000	602.550907122336
18845	252	1	2	1	1	618000	602.550907122336
18846	252	1	1	4	2		453.517510028334
18846	252	1	2	4	2		453.517510028334
18846	252	1	3	1	1	300000	453.517510028334
18846	252	1	6	5	2		453.517510028334
18847	252	1	1	4	2		754.243083795883
18847	252	1	2	1	1	450000	754.243083795883
18848	252	1	1	1	1	1400000	348.901253918495
18848	252	1	2	4	2		348.901253918495
